,open,close,low,high,volume,money,factor,pre_close
2013-09-03,1596.47,1614.54,1591.21,1615.13,2542037200.0,24556925054.0,1.0,1591.93
2013-09-04,1612.5,1613.54,1608.9,1620.15,2189436600.0,20715047924.0,1.0,1614.54
2013-09-05,1615.53,1609.6,1606.31,1616.7,1670893000.0,17015210948.0,1.0,1613.54
2013-09-06,1604.77,1625.85,1604.2,1630.3,2350710400.0,20855893906.0,1.0,1609.6
2013-09-09,1643.18,1713.38,1643.18,1720.03,6638102200.0,57005160344.0,1.0,1625.85
2013-09-10,1720.39,1737.58,1704.64,1738.35,6157833700.0,55881331361.0,1.0,1713.38
2013-09-11,1745.5,1741.32,1736.18,1765.94,5635468600.0,53764222805.0,1.0,1737.58
2013-09-12,1741.49,1772.66,1726.1,1798.96,6027064700.0,57747436616.0,1.0,1741.32
2013-09-13,1764.03,1749.24,1742.98,1776.5,3873732600.0,39150868310.0,1.0,1772.66
2013-09-16,1763.92,1738.25,1722.67,1765.47,4736661500.0,44087469836.0,1.0,1749.24
2013-09-17,1744.38,1698.63,1697.11,1748.71,4151417900.0,40589840897.0,1.0,1738.25
2013-09-18,1698.61,1700.59,1680.68,1710.47,2902642500.0,27027917207.0,1.0,1698.63
2013-09-23,1707.9,1713.08,1694.94,1716.09,2864825400.0,27345221887.0,1.0,1700.59
2013-09-24,1709.99,1673.56,1660.22,1710.11,3449546400.0,32421776973.0,1.0,1713.08
2013-09-25,1671.54,1661.61,1658.02,1687.13,2479263600.0,23625989844.0,1.0,1673.56
2013-09-26,1658.18,1632.69,1629.9,1658.18,2892238100.0,26844604683.0,1.0,1661.61
2013-09-27,1630.69,1639.15,1624.88,1641.01,1996541600.0,18514292515.0,1.0,1632.69
2013-09-30,1648.15,1643.06,1634.93,1653.24,1717054100.0,16218420545.0,1.0,1639.15
2013-10-08,1637.97,1659.71,1622.59,1664.21,2873614000.0,23571912340.0,1.0,1643.06
2013-10-09,1653.09,1668.48,1647.38,1673.04,2377765200.0,21053469894.0,1.0,1659.71
2013-10-10,1670.79,1637.93,1635.27,1671.1,2519728800.0,22864587617.0,1.0,1668.48
2013-10-11,1649.85,1669.27,1644.51,1672.02,2820165900.0,25667570474.0,1.0,1637.93
2013-10-14,1670.73,1662.17,1656.73,1671.51,2857565500.0,25777575870.0,1.0,1669.27
2013-10-15,1665.63,1656.26,1646.65,1666.97,2492117900.0,22149705415.0,1.0,1662.17
2013-10-16,1652.59,1634.22,1626.26,1652.59,2403668500.0,22237054236.0,1.0,1656.26
2013-10-17,1642.33,1627.18,1625.47,1647.24,1935584500.0,17485548893.0,1.0,1634.22
2013-10-18,1630.55,1636.8,1628.09,1647.77,1879275600.0,16376943725.0,1.0,1627.18
2013-10-21,1640.28,1657.58,1626.55,1659.57,2319049100.0,21386703970.0,1.0,1636.8
2013-10-22,1656.64,1640.07,1636.19,1656.64,2247644600.0,19877575993.0,1.0,1657.58
2013-10-23,1646.93,1638.5,1634.91,1670.0,2626610800.0,23849761665.0,1.0,1640.07
2013-10-24,1633.93,1621.61,1618.61,1640.62,2123207000.0,18652256417.0,1.0,1638.5
2013-10-25,1622.01,1611.52,1601.66,1635.84,2451471600.0,21829630839.0,1.0,1621.61
2013-10-28,1614.68,1610.69,1600.8,1616.98,1618887500.0,14812435186.0,1.0,1611.52
2013-10-29,1615.43,1633.72,1606.34,1655.93,3636821000.0,32137311394.0,1.0,1610.69
2013-10-30,1634.28,1653.42,1624.53,1654.39,2820064200.0,24005211457.0,1.0,1633.72
2013-10-31,1645.12,1631.05,1629.29,1645.12,2553653900.0,21315714169.0,1.0,1653.42
2013-11-01,1633.03,1644.75,1628.12,1650.53,2064177900.0,19607811126.0,1.0,1631.05
2013-11-04,1654.11,1638.51,1635.34,1659.76,1650443900.0,15577314793.0,1.0,1644.75
2013-11-05,1629.79,1633.66,1611.24,1637.44,1958425700.0,17611081951.0,1.0,1638.51
2013-11-06,1623.85,1614.21,1613.36,1630.83,1874947200.0,17182441060.0,1.0,1633.66
2013-11-07,1615.51,1610.58,1601.6,1619.37,1590901000.0,14624815440.0,1.0,1614.21
2013-11-08,1603.22,1587.44,1585.62,1613.41,1688198000.0,15550214056.0,1.0,1610.58
2013-11-11,1587.59,1591.14,1579.38,1596.47,1486765000.0,13661447098.0,1.0,1587.44
2013-11-12,1595.65,1610.78,1595.65,1611.54,1573497400.0,15527084794.0,1.0,1591.14
2013-11-13,1599.0,1569.24,1568.16,1599.19,2017126600.0,17633687702.0,1.0,1610.78
2013-11-14,1571.6,1572.73,1559.57,1574.58,1808942700.0,15727422293.0,1.0,1569.24
2013-11-15,1573.91,1604.82,1573.68,1622.85,2982386300.0,28136174825.0,1.0,1572.73
2013-11-18,1618.16,1675.16,1610.05,1676.87,4571072200.0,46230816894.0,1.0,1604.82
2013-11-19,1674.72,1659.53,1656.44,1675.88,2975057100.0,31613504305.0,1.0,1675.16
2013-11-20,1671.55,1663.76,1652.39,1676.46,2315943700.0,23510900317.0,1.0,1659.53
2013-11-21,1654.45,1648.09,1626.08,1654.45,2772275000.0,27267260699.0,1.0,1663.76
2013-11-22,1651.94,1642.5,1637.99,1655.65,2442465600.0,23653996847.0,1.0,1648.09
2013-11-25,1633.84,1633.78,1628.91,1659.33,2270731300.0,21601120134.0,1.0,1642.5
