,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
21,sh000025,180基建,1649.3088,8.39,0.511,1640.9192,1634.66,1658.5216,1626.2405,14327057,10401787646
22,sh000026,180资源,3660.563,-2.153,-0.059,3662.7164,3638.9053,3678.1131,3605.3406,14760905,21289430302
23,sh000027,180运输,855.1195,3.094,0.363,852.0252,850.5943,855.2962,841.6051,5423142,7645116936
24,sh000028,180成长,5143.0372,58.51,1.151,5084.5268,5083.6235,5153.5927,5079.4884,20949782,78503211437
25,sh000029,180价值,3949.5095,30.668,0.783,3918.8419,3914.1737,3964.7694,3911.6416,47717110,52244246544
26,sh000030,180R成长,3126.0604,29.331,0.947,3096.7291,3094.4688,3129.639,3092.6095,54674107,134152657455
27,sh000031,180R价值,2960.9701,21.295,0.724,2939.6753,2934.8391,2969.4172,2933.4766,81441435,107893692562
28,sh000032,上证能源,1722.2089,11.771,0.688,1710.438,1704.1967,1756.8533,1692.5,31714124,25699148933
29,sh000033,上证材料,3089.444,26.484,0.865,3062.9598,3052.1969,3089.6434,3035.9176,36987703,45432731941
30,sh000034,上证工业,2995.9278,3.809,0.127,2992.1188,2993.8723,3000.7655,2967.7506,30618233,42092993864
31,sh000035,上证可选,3863.5698,17.338,0.451,3846.2314,3835.8829,3877.8387,3829.1231,9348517,19110272294
32,sh000036,上证消费,17417.7464,252.712,1.472,17165.0347,17123.4586,17553.8467,17120.5366,3850262,22054937996
33,sh000037,上证医药,9480.5408,158.354,1.699,9322.1867,9302.0077,9511.1277,9302.0077,3365744,19283561621
34,sh000038,上证金融,4876.5906,44.374,0.918,4832.2169,4828.8446,4903.4691,4826.4509,15988407,21995872586
35,sh000039,上证信息,4462.5117,42.89,0.97,4419.6221,4421.9734,4485.4001,4415.0495,4971400,24385122120
36,sh000040,上证电信,2668.0957,15.843,0.597,2652.2527,2654.2634,2677.1286,2649.2418,3846816,4889435414
37,sh000041,上证公用,2308.1662,6.275,0.273,2301.8916,2288.7439,2320.9861,2264.7124,22100154,14315069596
38,sh000042,上证央企,1631.7873,10.889,0.672,1620.898,1618.9135,1635.0281,1617.7327,29464564,34788036259
39,sh000043,超大盘,2580.9005,15.643,0.61,2565.2575,2565.1282,2590.8948,2563.8245,11101626,41907188324
40,sh000044,上证中盘,4388.7981,34.961,0.803,4353.8372,4346.6354,4391.6035,4344.2579,61542086,84967462437
41,sh000045,上证小盘,5365.0693,44.273,0.832,5320.7965,5311.4967,5369.7103,5298.9869,110408581,115771723026
42,sh000046,上证中小,4861.5304,39.353,0.816,4822.1773,4813.9974,4863.4401,4807.6416,171950667,200739185463
43,sh000047,上证全指,3951.4744,32.369,0.826,3919.1056,3914.0756,3956.4626,3912.5686,201077892,280909362171
44,sh000048,责任指数,1540.3288,18.462,1.213,1521.8668,1520.5477,1543.9496,1519.72,39150622,64448651638
45,sh000049,上证民企,2707.9294,17.769,0.661,2690.16,2689.268,2712.4651,2687.5398,15250517,53134701727
46,sh000050,50等权,2549.9694,13.836,0.546,2536.1337,2528.2693,2555.5685,2527.2532,29127225,80170176708
47,sh000051,180等权,9908.3097,66.809,0.679,9841.5002,9822.9072,9919.4641,9818.0615,90669311,165137639145
48,sh000052,50基本,2751.4959,14.171,0.518,2737.3253,2731.4818,2763.8626,2730.3387,29127225,80170176708
49,sh000053,180基本,10854.6876,56.901,0.527,10797.7864,10774.958,10884.4415,10770.0349,90669311,165137639145
50,sh000054,上证海外,1378.7585,15.429,1.132,1363.3296,1362.1604,1381.2771,1360.9542,37472727,51168856395
51,sh000055,上证地企,1530.8777,12.203,0.804,1518.6749,1515.5518,1534.4428,1515.5518,30177604,57016908091
52,sh000056,上证国企,1236.2003,9.285,0.757,1226.9148,1225.1644,1238.5225,1224.7931,59642167,91804944350
53,sh000057,全指成长,5284.8344,55.892,1.069,5228.9425,5224.1235,5294.6416,5223.0273,31769007,106001330029
54,sh000058,全指价值,4105.2062,33.707,0.828,4071.4992,4067.7741,4120.1941,4064.3072,96616232,87580148178
55,sh000059,全R成长,4010.5239,36.831,0.927,3973.6929,3969.7504,4014.748,3968.6978,117790242,214209500278
56,sh000060,全R价值,3827.1909,27.443,0.722,3799.7481,3793.7616,3835.6833,3791.4114,182637467,195788318427
57,sh000061,沪企债30,161.0109,-0.01,-0.006,161.0213,161.0351,161.054,161.0109,17,18488
58,sh000062,上证沪企,2068.6448,17.179,0.837,2051.4659,2046.7539,2070.6727,2045.5718,16640486,24339991512
59,sh000063,上证周期,3328.0139,28.911,0.876,3299.1031,3300.4473,3336.3903,3296.661,36397879,54824935527
60,sh000064,非周期,4126.5954,35.902,0.878,4090.6932,4082.7632,4135.4185,4082.7632,33175896,95483096527
61,sh000065,上证龙头,3746.1507,16.271,0.436,3729.8801,3723.7414,3754.5445,3722.7134,36735496,82798061816
62,sh000066,上证商品,3072.9258,16.223,0.531,3056.7024,3037.6865,3096.0262,3018.3486,47256929,57011550108
63,sh000067,上证新兴,9896.4927,18.372,0.186,9878.1207,9859.3383,9914.9009,9839.3179,20930927,65880127619
64,sh000068,上证资源,2968.8455,7.843,0.265,2961.0026,2942.4771,2985.3544,2922.2814,42983195,48377855101
65,sh000069,消费80,7361.5842,87.143,1.198,7274.4415,7258.3018,7409.2551,7256.7208,12218424,54320326462
66,sh000070,能源等权,2861.1618,53.909,1.92,2807.2528,2807.6398,2921.636,2787.7755,31714124,25699148933
67,sh000071,材料等权,4251.2239,37.894,0.899,4213.3298,4203.232,4251.7382,4176.5754,36987703,45432731941
68,sh000072,工业等权,3744.2252,8.791,0.235,3735.434,3731.7214,3747.9295,3708.6444,30618233,42092993864
69,sh000073,可选等权,3722.9169,-1.275,-0.034,3724.1917,3712.2608,3739.1619,3704.1056,9348517,19110272294
70,sh000074,消费等权,11192.9359,143.332,1.297,11049.6038,10987.4472,11208.8883,10985.1783,3850262,22054937996
71,sh000075,医药等权,10280.2365,152.732,1.508,10127.5042,10109.8347,10302.4201,10109.3464,3365744,19283561621
72,sh000076,金融等权,4324.6437,40.435,0.944,4284.2091,4276.1355,4344.473,4275.7148,15988407,21995872586
73,sh000077,信息等权,5352.0511,35.347,0.665,5316.7038,5317.7025,5384.6846,5311.3223,4971400,24385122120
74,sh000078,电信等权,2275.3997,-4.901,-0.215,2280.3003,2281.6068,2284.9166,2262.99,3846816,4889435414
75,sh000079,公用等权,2465.4181,15.48,0.632,2449.9384,2440.6123,2480.4014,2419.3821,22100154,14315069596
76,sh000090,上证流通,1396.3544,10.46,0.755,1385.8943,1384.4246,1397.809,1383.8671,313171747,409606556465
